"state","status_2016","dem","initiative","mjballots","num"
"North Carolina",1,0,0,0,0.00126051553525031
"New Hampshire",2,1,0,0,0.00338259083218873
"Rhode Island",2,1,0,0,0.00405607838183641
"Virginia",0,1,0,0,0.0170947948936373
"North Dakota",2,0,1,1,0.0521829179488122
"West Virginia",0,0,0,0,0.0589402357582003
"California",3,1,1,7,0.0740567399188876
"Iowa",0,1,0,0,0.0937138423323631
"Massachusetts",3,1,1,3,0.105316617526114
"Florida",2,1,1,2,0.119393185246736
"Kansas",0,0,0,0,0.134862152859569
"Tennessee",0,0,0,0,0.16700118035078
"Connecticut",2,1,0,0,0.167040150379762
"Alabama",0,0,0,0,0.188508521998301
"Nebraska",1,0,1,0,0.188674381701276
"Mississippi",1,0,1,0,0.189326000167057
"Minnesota",2,1,0,0,0.214849888347089
"South Dakota",0,0,1,3,0.217860424425453
"Arizona",2,0,1,8,0.280712041538209
"Indiana",0,0,0,0,0.297309911809862
"Nevada",3,1,1,6,0.300004139309749
"Missouri",1,0,1,0,0.32469721394591
"Louisiana",2,0,0,0,0.326864028582349
"Illinois",2,1,1,0,0.331908571766689
"Michigan",2,1,1,1,0.408202324993908
"New York",2,1,0,0,0.466297677950934
"Colorado",3,1,1,5,0.470704791834578
"Vermont",2,1,0,0,0.474037598818541
"Oregon",3,1,1,7,0.48848680825904
"Utah",0,0,1,0,0.560109486337751
"Wisconsin",0,1,0,0,0.563223345205188
"Wyoming",0,0,1,0,0.563278620596975
"Idaho",0,0,1,0,0.567857766756788
"Texas",0,0,0,0,0.573329297825694
"Montana",2,0,1,3,0.580426530679688
"Kentucky",0,0,0,0,0.618332788813859
"Delaware",2,1,0,0,0.639542319113389
"South Carolina",0,0,0,0,0.667872944846749
"Hawaii",2,1,0,0,0.67264956375584
"Oklahoma",0,0,1,0,0.685191379161552
"New Mexico",2,1,0,0,0.803466070210561
"Maine",3,1,1,4,0.885347642702982
"Ohio",2,1,1,1,0.911053550662473
"Georgia",0,0,0,1,0.92303857090883
"Pennsylvania",2,1,0,0,0.935107842087746
"Arkansas",2,0,1,2,0.950110654812306
"Washington",3,1,1,5,0.982043892377988
"New Jersey",2,1,0,0,0.983024172717705
"Maryland",2,1,0,0,0.984901544870809
